___________________________________________,,,
Filename,MDVR_all_features_chunks_SpontaneousDialogue.csv,,
Model,svc,,
Chunked?,TRUE,,
___________________________________________,,,
{'C',10,,
Validate,model,,
,Average,Accuracy,89.7981982
,Average,Specificity,93.04878049
,Average,Recall,86
,Average,Precision,91.34337445
,Average,F1Score,88.51638558
,,,
Evaluate,model,,
,Accuracy,91.92546584,
,Specificity,90.66666667,
,Recall,93.02325581,
,Precision,91.89189189,
,F1Score,91.27516779,
,,,
___________________________________________,,,
Filename,MDVR_all_features_chunks_SpontaneousDialogue.csv,,
Model,lr,,
Chunked?,TRUE,,
___________________________________________,,,
{'C',1,,
Validate,model,,
,Average,Accuracy,83.35135135
,Average,Specificity,89.59756098
,Average,Recall,76.01680672
,Average,Precision,86.09688013
,Average,F1Score,80.67326491
,,,
Evaluate,model,,
,Accuracy,87.57763975,
,Specificity,85.33333333,
,Recall,89.53488372,
,Precision,87.67123288,
,F1Score,86.48648649,
,,,
___________________________________________,,,
Filename,MDVR_all_features_chunks_SpontaneousDialogue.csv,,
Model,knn,,
Chunked?,TRUE,,
___________________________________________,,,
{'algorithm','auto',,
Validate,model,,
,Average,Accuracy,90.07927928
,Average,Specificity,91.07317073
,Average,Recall,88.90756303
,Average,Precision,89.39482381
,Average,F1Score,89.07817843
,,,
Evaluate,model,,
,Accuracy,92.54658385,
,Specificity,96,
,Recall,89.53488372,
,Precision,88.88888889,
,F1Score,92.30769231,
,,,
___________________________________________,,,
Filename,MDVR_all_features_chunks_SpontaneousDialogue.csv,,
Model,rf,,
Chunked?,TRUE,,
___________________________________________,,,
{'bootstrap',TRUE,,
Validate,model,,
,Average,Accuracy,85.3049049
,Average,Specificity,92.85501355
,Average,Recall,76.42390289
,Average,Precision,90.45640636
,Average,F1Score,82.65563899
,,,
Evaluate,model,,
,Accuracy,90.68322981,
,Specificity,84,
,Recall,96.51162791,
,Precision,95.45454545,
,F1Score,89.36170213,
,,,
___________________________________________,,,
Filename,MDVR_all_features_ReadText.csv,,
Model,svc,,
Chunked?,FALSE,,
___________________________________________,,,
{'C',10,,
Validate,model,,
,Average,Accuracy,86.88888889
,Average,Specificity,93.33333333
,Average,Recall,75
,Average,Precision,90
,Average,F1Score,78.57142857
,,,
Evaluate,model,,
,Accuracy,95.23809524,
,Specificity,100,
,Recall,90.90909091,
,Precision,90.90909091,
,F1Score,95.23809524,
,,,
___________________________________________,,,
Filename,MDVR_all_features_ReadText.csv,,
Model,lr,,
Chunked?,FALSE,,
___________________________________________,,,
{'C',100,,
Validate,model,,
,Average,Accuracy,71.77777778
,Average,Specificity,80
,Average,Recall,58.33333333
,Average,Precision,56.66666667
,Average,F1Score,51.17460317
,,,
Evaluate,model,,
,Accuracy,66.66666667,
,Specificity,60,
,Recall,72.72727273,
,Precision,66.66666667,
,F1Score,63.15789474,
,,,
___________________________________________,,,
Filename,MDVR_all_features_ReadText.csv,,
Model,knn,,
Chunked?,FALSE,,
___________________________________________,,,
{'algorithm','auto',,
Validate,model,,
,Average,Accuracy,84.66666667
,Average,Specificity,93.33333333
,Average,Recall,66.66666667
,Average,Precision,76
,Average,F1Score,67.77777778
,,,
Evaluate,model,,
,Accuracy,80.95238095,
,Specificity,70,
,Recall,90.90909091,
,Precision,87.5,
,F1Score,77.77777778,
,,,
___________________________________________,,,
Filename,MDVR_all_features_ReadText.csv,,
Model,rf,,
Chunked?,FALSE,,
___________________________________________,,,
{'bootstrap',TRUE,,
Validate,model,,
,Average,Accuracy,77.48148148
,Average,Specificity,92.96296296
,Average,Recall,48.51851852
,Average,Precision,77.03703704
,Average,F1Score,56.87830688
,,,
Evaluate,model,,
,Accuracy,90.47619048,
,Specificity,80,
,Recall,100,
,Precision,100,
,F1Score,88.88888889,
,,,
___________________________________________,,,
Filename,MDVR_all_features_SpontaneousDialogue.csv,,
Model,svc,,
Chunked?,FALSE,,
___________________________________________,,,
{'C',100,,
Validate,model,,
,Average,Accuracy,92
,Average,Specificity,100
,Average,Recall,80
,Average,Precision,100
,Average,F1Score,86.66666667
,,,
Evaluate,model,,
,Accuracy,45.45454545,
,Specificity,0,
,Recall,83.33333333,
,Precision,0,
,F1Score,0,
,,,
___________________________________________,,,
Filename,MDVR_all_features_SpontaneousDialogue.csv,,
Model,lr,,
Chunked?,FALSE,,
___________________________________________,,,
{'C',10,,
Validate,model,,
,Average,Accuracy,88
,Average,Specificity,93.33333333
,Average,Recall,80
,Average,Precision,90
,Average,F1Score,83.33333333
,,,
Evaluate,model,,
,Accuracy,45.45454545,
,Specificity,20,
,Recall,66.66666667,
,Precision,33.33333333,
,F1Score,25,
,,,
___________________________________________,,,
Filename,MDVR_all_features_SpontaneousDialogue.csv,,
Model,knn,,
Chunked?,FALSE,,
___________________________________________,,,
{'algorithm','auto',,
Validate,model,,
,Average,Accuracy,84
,Average,Specificity,100
,Average,Recall,60
,Average,Precision,80
,Average,F1Score,66.66666667
,,,
Evaluate,model,,
,Accuracy,54.54545455,
,Specificity,0,
,Recall,100,
,Precision,0,
,F1Score,0,
,,,
___________________________________________,,,
Filename,MDVR_all_features_SpontaneousDialogue.csv,,
Model,rf,,
Chunked?,FALSE,,
___________________________________________,,,
{'bootstrap',TRUE,,
Validate,model,,
,Average,Accuracy,72
,Average,Specificity,80.74074074
,Average,Recall,61.11111111
,Average,Precision,62.22222222
,Average,F1Score,58.44444444
,,,
Evaluate,model,,
,Accuracy,63.63636364,
,Specificity,40,
,Recall,83.33333333,
,Precision,66.66666667,
,F1Score,50,
,,,
___________________________________________,,,
Filename,MDVR_all_features_chunks_ReadText.csv,,
Model,svc,,
Chunked?,TRUE,,
___________________________________________,,,
{'C',100,,
Validate,model,,
,Average,Accuracy,94.07979408
,Average,Specificity,96.27329193
,Average,Recall,90.40650407
,Average,Precision,93.52297768
,Average,F1Score,91.88983891
,,,
Evaluate,model,,
,Accuracy,90.41666667,
,Specificity,83.14606742,
,Recall,94.70198675,
,Precision,90.24390244,
,F1Score,86.5497076,
,,,
___________________________________________,,,
Filename,MDVR_all_features_chunks_ReadText.csv,,
Model,lr,,
Chunked?,TRUE,,
___________________________________________,,,
{'C',100,,
