___________________________________________,,,
Filename,MDVR_acoustic_features_ReadTextConcatenated.csv,,
Model,svc,,
Chunked?,FALSE,,
___________________________________________,,,
{'C',0.1,,
Validate,model,,
,Average,Accuracy,80
,Average,Specificity,100
,Average,Recall,50
,Average,Precision,80
,Average,F1Score,60
,,,
Evaluate,model,,
,Accuracy,66.66666667,
,Specificity,33.33333333,
,Recall,100,
,Precision,100,
,F1Score,50,
,,,
___________________________________________,,,
Filename,MDVR_acoustic_features_ReadTextConcatenated.csv,,
Model,lr,,
Chunked?,FALSE,,
___________________________________________,,,
{'C',10,,
Validate,model,,
,Average,Accuracy,80
,Average,Specificity,93.33333333
,Average,Recall,60
,Average,Precision,73.33333333
,Average,F1Score,62.66666667
,,,
Evaluate,model,,
,Accuracy,66.66666667,
,Specificity,33.33333333,
,Recall,100,
,Precision,100,
,F1Score,50,
,,,
___________________________________________,,,
Filename,MDVR_acoustic_features_ReadTextConcatenated.csv,,
Model,knn,,
Chunked?,FALSE,,
___________________________________________,,,
{'algorithm','auto',,
Validate,model,,
,Average,Accuracy,72
,Average,Specificity,93.33333333
,Average,Recall,40
,Average,Precision,60
,Average,F1Score,46.66666667
,,,
Evaluate,model,,
,Accuracy,50,
,Specificity,0,
,Recall,100,
,Precision,0,
,F1Score,0,
,,,
___________________________________________,,,
Filename,MDVR_acoustic_features_ReadTextConcatenated.csv,,
Model,rf,,
Chunked?,FALSE,,
___________________________________________,,,
{'bootstrap',TRUE,,
Validate,model,,
,Average,Accuracy,76.88888889
,Average,Specificity,91.11111111
,Average,Recall,55.55555556
,Average,Precision,73.33333333
,Average,F1Score,60.88888889
,,,
Evaluate,model,,
,Accuracy,75,
,Specificity,66.66666667,
,Recall,83.33333333,
,Precision,80,
,F1Score,72.72727273,
